Temp = None ◦ C, Humidity = None %, Pressure = 909 hPa.
Temp = 30 ◦ C, Humidity = 43 %, Pressure = 909 hPa.
Temp = 30 ◦ C, Humidity = 43 %, Pressure = 1086 hPa.
Temp = 32 ◦ C, Humidity = 43 %, Pressure = 1086 hPa.
Temp = 32 ◦ C, Humidity = 46 %, Pressure = 1086 hPa.
Temp = 16 ◦ C, Humidity = 46 %, Pressure = 1086 hPa.
Temp = 21 ◦ C, Humidity = 46 %, Pressure = 1086 hPa.
Temp = 21 ◦ C, Humidity = 20 %, Pressure = 1086 hPa.
Temp = 21 ◦ C, Humidity = 20 %, Pressure = 904 hPa.
Temp = 24 ◦ C, Humidity = 20 %, Pressure = 904 hPa.
Temp = 15 ◦ C, Humidity = 20 %, Pressure = 904 hPa.
Temp = 15 ◦ C, Humidity = 95 %, Pressure = 904 hPa.
Temp = 15 ◦ C, Humidity = 95 %, Pressure = 904 hPa.
Temp = 15 ◦ C, Humidity = 95 %, Pressure = 1047 hPa.
Temp = 27 ◦ C, Humidity = 95 %, Pressure = 1047 hPa.
Temp = 27 ◦ C, Humidity = 65 %, Pressure = 1047 hPa.
Temp = 33 ◦ C, Humidity = 65 %, Pressure = 1047 hPa.
Temp = 15 ◦ C, Humidity = 65 %, Pressure = 1047 hPa.
Temp = 15 ◦ C, Humidity = 30 %, Pressure = 1047 hPa.
Temp = 15 ◦ C, Humidity = 30 %, Pressure = 1046 hPa.
Temp = 35 ◦ C, Humidity = 30 %, Pressure = 1046 hPa.
Temp = 24 ◦ C, Humidity = 30 %, Pressure = 1046 hPa.
Temp = 24 ◦ C, Humidity = 60 %, Pressure = 1046 hPa.
Temp = 40 ◦ C, Humidity = 60 %, Pressure = 1046 hPa.
Temp = 40 ◦ C, Humidity = 60 %, Pressure = 1058 hPa.
Temp = 30 ◦ C, Humidity = 60 %, Pressure = 1058 hPa.
Temp = 30 ◦ C, Humidity = 49 %, Pressure = 1058 hPa.
Temp = 24 ◦ C, Humidity = 49 %, Pressure = 1058 hPa.
Temp = 29 ◦ C, Humidity = 49 %, Pressure = 1058 hPa.
Temp = 29 ◦ C, Humidity = 90 %, Pressure = 1058 hPa.
Temp = 29 ◦ C, Humidity = 90 %, Pressure = 1098 hPa.
Temp = 33 ◦ C, Humidity = 90 %, Pressure = 1098 hPa.
Temp = 35 ◦ C, Humidity = 90 %, Pressure = 1098 hPa.
Temp = 35 ◦ C, Humidity = 93 %, Pressure = 1098 hPa.
Temp = 16 ◦ C, Humidity = 93 %, Pressure = 1098 hPa.
Temp = 16 ◦ C, Humidity = 93 %, Pressure = 1051 hPa.
Temp = 19 ◦ C, Humidity = 93 %, Pressure = 1051 hPa.
Temp = 19 ◦ C, Humidity = 91 %, Pressure = 1051 hPa.
Temp = 33 ◦ C, Humidity = 91 %, Pressure = 1051 hPa.
Temp = 22 ◦ C, Humidity = 91 %, Pressure = 1051 hPa.
Temp = 22 ◦ C, Humidity = 28 %, Pressure = 1051 hPa.
Temp = 22 ◦ C, Humidity = 28 %, Pressure = 904 hPa.
Temp = 27 ◦ C, Humidity = 28 %, Pressure = 904 hPa.
Temp = 27 ◦ C, Humidity = 28 %, Pressure = 904 hPa.
Temp = 27 ◦ C, Humidity = 35 %, Pressure = 904 hPa.
Temp = 17 ◦ C, Humidity = 35 %, Pressure = 904 hPa.
Temp = 17 ◦ C, Humidity = 35 %, Pressure = 916 hPa.
Temp = 15 ◦ C, Humidity = 35 %, Pressure = 916 hPa.
Temp = 15 ◦ C, Humidity = 32 %, Pressure = 916 hPa.
Temp = 25 ◦ C, Humidity = 32 %, Pressure = 916 hPa.
Temp = 26 ◦ C, Humidity = 32 %, Pressure = 916 hPa.
Temp = 26 ◦ C, Humidity = 67 %, Pressure = 916 hPa.
Temp = 26 ◦ C, Humidity = 67 %, Pressure = 961 hPa.
Temp = 29 ◦ C, Humidity = 67 %, Pressure = 961 hPa.
Temp = 36 ◦ C, Humidity = 67 %, Pressure = 961 hPa.
Temp = 36 ◦ C, Humidity = 21 %, Pressure = 961 hPa.
Temp = 15 ◦ C, Humidity = 21 %, Pressure = 961 hPa.
Temp = 15 ◦ C, Humidity = 21 %, Pressure = 981 hPa.
Temp = 36 ◦ C, Humidity = 21 %, Pressure = 981 hPa.
Temp = 36 ◦ C, Humidity = 79 %, Pressure = 981 hPa.
Temp = 28 ◦ C, Humidity = 79 %, Pressure = 981 hPa.
Temp = 27 ◦ C, Humidity = 79 %, Pressure = 981 hPa.
Temp = 27 ◦ C, Humidity = 30 %, Pressure = 981 hPa.
Temp = 27 ◦ C, Humidity = 30 %, Pressure = 1055 hPa.
Temp = 37 ◦ C, Humidity = 30 %, Pressure = 1055 hPa.
Temp = 22 ◦ C, Humidity = 30 %, Pressure = 1055 hPa.
Temp = 22 ◦ C, Humidity = 74 %, Pressure = 1055 hPa.
Temp = 27 ◦ C, Humidity = 74 %, Pressure = 1055 hPa.
Temp = 27 ◦ C, Humidity = 74 %, Pressure = 1051 hPa.
Temp = 35 ◦ C, Humidity = 74 %, Pressure = 1051 hPa.
Temp = 35 ◦ C, Humidity = 61 %, Pressure = 1051 hPa.
Temp = 19 ◦ C, Humidity = 61 %, Pressure = 1051 hPa.
Temp = 36 ◦ C, Humidity = 61 %, Pressure = 1051 hPa.
Temp = 36 ◦ C, Humidity = 40 %, Pressure = 1051 hPa.
Temp = 36 ◦ C, Humidity = 40 %, Pressure = 1092 hPa.
Temp = 28 ◦ C, Humidity = 40 %, Pressure = 1092 hPa.
Temp = 20 ◦ C, Humidity = 40 %, Pressure = 1092 hPa.
Temp = 20 ◦ C, Humidity = 51 %, Pressure = 1092 hPa.
Temp = 20 ◦ C, Humidity = 51 %, Pressure = 1092 hPa.
Temp = 20 ◦ C, Humidity = 51 %, Pressure = 1048 hPa.
Temp = 28 ◦ C, Humidity = 51 %, Pressure = 1048 hPa.
Temp = 28 ◦ C, Humidity = 41 %, Pressure = 1048 hPa.
Temp = 19 ◦ C, Humidity = 41 %, Pressure = 1048 hPa.
Temp = 39 ◦ C, Humidity = 41 %, Pressure = 1048 hPa.
Temp = 39 ◦ C, Humidity = 80 %, Pressure = 1048 hPa.
Temp = 39 ◦ C, Humidity = 80 %, Pressure = 948 hPa.
Temp = 38 ◦ C, Humidity = 80 %, Pressure = 948 hPa.
Temp = 16 ◦ C, Humidity = 80 %, Pressure = 948 hPa.
Temp = 16 ◦ C, Humidity = 46 %, Pressure = 948 hPa.
Temp = 32 ◦ C, Humidity = 46 %, Pressure = 948 hPa.
Temp = 32 ◦ C, Humidity = 46 %, Pressure = 1043 hPa.
Temp = 20 ◦ C, Humidity = 46 %, Pressure = 1043 hPa.
Temp = 20 ◦ C, Humidity = 38 %, Pressure = 1043 hPa.
Temp = 26 ◦ C, Humidity = 38 %, Pressure = 1043 hPa.
Temp = 35 ◦ C, Humidity = 38 %, Pressure = 1043 hPa.
Temp = 35 ◦ C, Humidity = 27 %, Pressure = 1043 hPa.
Temp = 35 ◦ C, Humidity = 27 %, Pressure = 1079 hPa.
Temp = 23 ◦ C, Humidity = 27 %, Pressure = 1079 hPa.
Temp = 36 ◦ C, Humidity = 27 %, Pressure = 1079 hPa.
Temp = 36 ◦ C, Humidity = 31 %, Pressure = 1079 hPa.
Temp = 26 ◦ C, Humidity = 31 %, Pressure = 1079 hPa.
Temp = 26 ◦ C, Humidity = 31 %, Pressure = 1065 hPa.
Temp = 40 ◦ C, Humidity = 31 %, Pressure = 1065 hPa.
Temp = 40 ◦ C, Humidity = 63 %, Pressure = 1065 hPa.
Temp = 35 ◦ C, Humidity = 63 %, Pressure = 1065 hPa.
Temp = 23 ◦ C, Humidity = 63 %, Pressure = 1065 hPa.
Temp = 23 ◦ C, Humidity = 55 %, Pressure = 1065 hPa.
Temp = 23 ◦ C, Humidity = 55 %, Pressure = 928 hPa.
Temp = 17 ◦ C, Humidity = 55 %, Pressure = 928 hPa.
Temp = 19 ◦ C, Humidity = 55 %, Pressure = 928 hPa.
Temp = 19 ◦ C, Humidity = 86 %, Pressure = 928 hPa.
Temp = 20 ◦ C, Humidity = 86 %, Pressure = 928 hPa.
Temp = 20 ◦ C, Humidity = 86 %, Pressure = 1008 hPa.
Temp = 39 ◦ C, Humidity = 86 %, Pressure = 1008 hPa.
Temp = 39 ◦ C, Humidity = 30 %, Pressure = 1008 hPa.
Temp = 30 ◦ C, Humidity = 30 %, Pressure = 1008 hPa.
Temp = 31 ◦ C, Humidity = 30 %, Pressure = 1008 hPa.
Temp = 31 ◦ C, Humidity = 51 %, Pressure = 1008 hPa.
Temp = 31 ◦ C, Humidity = 51 %, Pressure = 1032 hPa.
Temp = 25 ◦ C, Humidity = 51 %, Pressure = 1032 hPa.
Temp = 29 ◦ C, Humidity = 51 %, Pressure = 1032 hPa.
Temp = 29 ◦ C, Humidity = 98 %, Pressure = 1032 hPa.
Temp = 36 ◦ C, Humidity = 98 %, Pressure = 1032 hPa.
Temp = 36 ◦ C, Humidity = 98 %, Pressure = 1089 hPa.
Temp = 27 ◦ C, Humidity = 98 %, Pressure = 1089 hPa.
Temp = 27 ◦ C, Humidity = 64 %, Pressure = 1089 hPa.
Temp = 31 ◦ C, Humidity = 64 %, Pressure = 1089 hPa.
Temp = 23 ◦ C, Humidity = 64 %, Pressure = 1089 hPa.
Temp = 23 ◦ C, Humidity = 67 %, Pressure = 1089 hPa.
Temp = 23 ◦ C, Humidity = 67 %, Pressure = 980 hPa.
Temp = 39 ◦ C, Humidity = 67 %, Pressure = 980 hPa.
Temp = 31 ◦ C, Humidity = 67 %, Pressure = 980 hPa.
Temp = 31 ◦ C, Humidity = 92 %, Pressure = 980 hPa.
Temp = 38 ◦ C, Humidity = 92 %, Pressure = 980 hPa.
Temp = 38 ◦ C, Humidity = 92 %, Pressure = 1062 hPa.
Temp = 33 ◦ C, Humidity = 92 %, Pressure = 1062 hPa.
Temp = 33 ◦ C, Humidity = 28 %, Pressure = 1062 hPa.
Temp = 29 ◦ C, Humidity = 28 %, Pressure = 1062 hPa.
Temp = 15 ◦ C, Humidity = 28 %, Pressure = 1062 hPa.
Temp = 15 ◦ C, Humidity = 98 %, Pressure = 1062 hPa.
Temp = 15 ◦ C, Humidity = 98 %, Pressure = 1099 hPa.
Temp = 28 ◦ C, Humidity = 98 %, Pressure = 1099 hPa.
Temp = 19 ◦ C, Humidity = 98 %, Pressure = 1099 hPa.
Temp = 19 ◦ C, Humidity = 99 %, Pressure = 1099 hPa.
Temp = 29 ◦ C, Humidity = 99 %, Pressure = 1099 hPa.
Temp = 29 ◦ C, Humidity = 99 %, Pressure = 1068 hPa.
Temp = 19 ◦ C, Humidity = 99 %, Pressure = 1068 hPa.
Temp = 19 ◦ C, Humidity = 21 %, Pressure = 1068 hPa.
Temp = 27 ◦ C, Humidity = 21 %, Pressure = 1068 hPa.
Temp = 25 ◦ C, Humidity = 21 %, Pressure = 1068 hPa.
Temp = 25 ◦ C, Humidity = 61 %, Pressure = 1068 hPa.
Temp = 25 ◦ C, Humidity = 61 %, Pressure = 1092 hPa.
Temp = 23 ◦ C, Humidity = 61 %, Pressure = 1092 hPa.
Temp = 16 ◦ C, Humidity = 61 %, Pressure = 1092 hPa.
Temp = 16 ◦ C, Humidity = 23 %, Pressure = 1092 hPa.
Temp = 38 ◦ C, Humidity = 23 %, Pressure = 1092 hPa.
Temp = 38 ◦ C, Humidity = 23 %, Pressure = 937 hPa.
Temp = 16 ◦ C, Humidity = 23 %, Pressure = 937 hPa.
Temp = 16 ◦ C, Humidity = 39 %, Pressure = 937 hPa.
Temp = 39 ◦ C, Humidity = 39 %, Pressure = 937 hPa.
Temp = 28 ◦ C, Humidity = 39 %, Pressure = 937 hPa.
Temp = 28 ◦ C, Humidity = 25 %, Pressure = 937 hPa.
Temp = 28 ◦ C, Humidity = 25 %, Pressure = 1034 hPa.
Temp = 31 ◦ C, Humidity = 25 %, Pressure = 1034 hPa.
Temp = 35 ◦ C, Humidity = 25 %, Pressure = 1034 hPa.
Temp = 35 ◦ C, Humidity = 57 %, Pressure = 1034 hPa.
Temp = 23 ◦ C, Humidity = 57 %, Pressure = 1034 hPa.
Temp = 23 ◦ C, Humidity = 57 %, Pressure = 1060 hPa.
Temp = 40 ◦ C, Humidity = 57 %, Pressure = 1060 hPa.
Temp = 40 ◦ C, Humidity = 61 %, Pressure = 1060 hPa.
Temp = 37 ◦ C, Humidity = 61 %, Pressure = 1060 hPa.
Temp = 18 ◦ C, Humidity = 61 %, Pressure = 1060 hPa.
Temp = 18 ◦ C, Humidity = 34 %, Pressure = 1060 hPa.
Temp = 18 ◦ C, Humidity = 34 %, Pressure = 1026 hPa.
Temp = 32 ◦ C, Humidity = 34 %, Pressure = 1026 hPa.
Temp = 39 ◦ C, Humidity = 34 %, Pressure = 1026 hPa.
Temp = 39 ◦ C, Humidity = 64 %, Pressure = 1026 hPa.
Temp = 28 ◦ C, Humidity = 64 %, Pressure = 1026 hPa.
Temp = 28 ◦ C, Humidity = 64 %, Pressure = 971 hPa.
Temp = 16 ◦ C, Humidity = 64 %, Pressure = 971 hPa.
Temp = 16 ◦ C, Humidity = 46 %, Pressure = 971 hPa.
Temp = 37 ◦ C, Humidity = 46 %, Pressure = 971 hPa.
Temp = 19 ◦ C, Humidity = 46 %, Pressure = 971 hPa.
Temp = 19 ◦ C, Humidity = 47 %, Pressure = 971 hPa.
Temp = 19 ◦ C, Humidity = 47 %, Pressure = 1079 hPa.
Temp = 39 ◦ C, Humidity = 47 %, Pressure = 1079 hPa.
Temp = 34 ◦ C, Humidity = 47 %, Pressure = 1079 hPa.
Temp = 34 ◦ C, Humidity = 52 %, Pressure = 1079 hPa.
Temp = 35 ◦ C, Humidity = 52 %, Pressure = 1079 hPa.
Temp = 35 ◦ C, Humidity = 52 %, Pressure = 1055 hPa.
Temp = 24 ◦ C, Humidity = 52 %, Pressure = 1055 hPa.
Temp = 24 ◦ C, Humidity = 52 %, Pressure = 1055 hPa.
Temp = 27 ◦ C, Humidity = 52 %, Pressure = 1055 hPa.
Temp = 32 ◦ C, Humidity = 52 %, Pressure = 1055 hPa.
Temp = 32 ◦ C, Humidity = 35 %, Pressure = 1055 hPa.
Temp = 32 ◦ C, Humidity = 35 %, Pressure = 1020 hPa.
Temp = 24 ◦ C, Humidity = 35 %, Pressure = 1020 hPa.
Temp = 21 ◦ C, Humidity = 35 %, Pressure = 1020 hPa.
Temp = 21 ◦ C, Humidity = 100 %, Pressure = 1020 hPa.
Temp = 33 ◦ C, Humidity = 100 %, Pressure = 1020 hPa.
Temp = 33 ◦ C, Humidity = 100 %, Pressure = 1051 hPa.
Temp = 35 ◦ C, Humidity = 100 %, Pressure = 1051 hPa.
Temp = 35 ◦ C, Humidity = 97 %, Pressure = 1051 hPa.
Temp = 24 ◦ C, Humidity = 97 %, Pressure = 1051 hPa.
Temp = 28 ◦ C, Humidity = 97 %, Pressure = 1051 hPa.
Temp = 28 ◦ C, Humidity = 34 %, Pressure = 1051 hPa.
Temp = 28 ◦ C, Humidity = 34 %, Pressure = 992 hPa.
Temp = 27 ◦ C, Humidity = 34 %, Pressure = 992 hPa.
Temp = 18 ◦ C, Humidity = 34 %, Pressure = 992 hPa.
Temp = 18 ◦ C, Humidity = 60 %, Pressure = 992 hPa.
Temp = 25 ◦ C, Humidity = 60 %, Pressure = 992 hPa.
Temp = 25 ◦ C, Humidity = 60 %, Pressure = 985 hPa.
Temp = 16 ◦ C, Humidity = 60 %, Pressure = 985 hPa.
Temp = 16 ◦ C, Humidity = 80 %, Pressure = 985 hPa.
Temp = 39 ◦ C, Humidity = 80 %, Pressure = 985 hPa.
Temp = 34 ◦ C, Humidity = 80 %, Pressure = 985 hPa.
Temp = 34 ◦ C, Humidity = 71 %, Pressure = 985 hPa.
Temp = 34 ◦ C, Humidity = 71 %, Pressure = 917 hPa.
Temp = 20 ◦ C, Humidity = 71 %, Pressure = 917 hPa.
Temp = 16 ◦ C, Humidity = 71 %, Pressure = 917 hPa.
Temp = 16 ◦ C, Humidity = 70 %, Pressure = 917 hPa.
Temp = 23 ◦ C, Humidity = 70 %, Pressure = 917 hPa.
Temp = 23 ◦ C, Humidity = 70 %, Pressure = 922 hPa.
Temp = 39 ◦ C, Humidity = 70 %, Pressure = 922 hPa.
Temp = 39 ◦ C, Humidity = 91 %, Pressure = 922 hPa.
Temp = 36 ◦ C, Humidity = 91 %, Pressure = 922 hPa.
Temp = 29 ◦ C, Humidity = 91 %, Pressure = 922 hPa.
Temp = 29 ◦ C, Humidity = 84 %, Pressure = 922 hPa.
Temp = 29 ◦ C, Humidity = 84 %, Pressure = 933 hPa.
Temp = 24 ◦ C, Humidity = 84 %, Pressure = 933 hPa.
Temp = 16 ◦ C, Humidity = 84 %, Pressure = 933 hPa.
Temp = 16 ◦ C, Humidity = 36 %, Pressure = 933 hPa.
Temp = 17 ◦ C, Humidity = 36 %, Pressure = 933 hPa.
Temp = 17 ◦ C, Humidity = 36 %, Pressure = 951 hPa.
Temp = 19 ◦ C, Humidity = 36 %, Pressure = 951 hPa.
Temp = 19 ◦ C, Humidity = 65 %, Pressure = 951 hPa.
Temp = 28 ◦ C, Humidity = 65 %, Pressure = 951 hPa.
Temp = 27 ◦ C, Humidity = 65 %, Pressure = 951 hPa.
Temp = 27 ◦ C, Humidity = 47 %, Pressure = 951 hPa.
Temp = 27 ◦ C, Humidity = 47 %, Pressure = 967 hPa.
Temp = 31 ◦ C, Humidity = 47 %, Pressure = 967 hPa.
Temp = 16 ◦ C, Humidity = 47 %, Pressure = 967 hPa.
Temp = 16 ◦ C, Humidity = 34 %, Pressure = 967 hPa.
Temp = 27 ◦ C, Humidity = 34 %, Pressure = 967 hPa.
Temp = 27 ◦ C, Humidity = 34 %, Pressure = 910 hPa.
Temp = 18 ◦ C, Humidity = 34 %, Pressure = 910 hPa.
Temp = 18 ◦ C, Humidity = 34 %, Pressure = 910 hPa.
Temp = 26 ◦ C, Humidity = 34 %, Pressure = 910 hPa.
Temp = 20 ◦ C, Humidity = 34 %, Pressure = 910 hPa.
Temp = 20 ◦ C, Humidity = 57 %, Pressure = 910 hPa.
Temp = 20 ◦ C, Humidity = 57 %, Pressure = 1089 hPa.
Temp = 17 ◦ C, Humidity = 57 %, Pressure = 1089 hPa.
Temp = 37 ◦ C, Humidity = 57 %, Pressure = 1089 hPa.
Temp = 37 ◦ C, Humidity = 82 %, Pressure = 1089 hPa.
Temp = 20 ◦ C, Humidity = 82 %, Pressure = 1089 hPa.
Temp = 20 ◦ C, Humidity = 82 %, Pressure = 920 hPa.
Temp = 29 ◦ C, Humidity = 82 %, Pressure = 920 hPa.
Temp = 29 ◦ C, Humidity = 32 %, Pressure = 920 hPa.
Temp = 37 ◦ C, Humidity = 32 %, Pressure = 920 hPa.
Temp = 30 ◦ C, Humidity = 32 %, Pressure = 920 hPa.
Temp = 30 ◦ C, Humidity = 55 %, Pressure = 920 hPa.
Temp = 30 ◦ C, Humidity = 55 %, Pressure = 975 hPa.
Temp = 23 ◦ C, Humidity = 55 %, Pressure = 975 hPa.
Temp = 36 ◦ C, Humidity = 55 %, Pressure = 975 hPa.
Temp = 36 ◦ C, Humidity = 20 %, Pressure = 975 hPa.
Temp = 36 ◦ C, Humidity = 20 %, Pressure = 975 hPa.
Temp = 36 ◦ C, Humidity = 20 %, Pressure = 1072 hPa.
Temp = 31 ◦ C, Humidity = 20 %, Pressure = 1072 hPa.
Temp = 31 ◦ C, Humidity = 27 %, Pressure = 1072 hPa.
Temp = 39 ◦ C, Humidity = 27 %, Pressure = 1072 hPa.
Temp = 28 ◦ C, Humidity = 27 %, Pressure = 1072 hPa.
Temp = 28 ◦ C, Humidity = 42 %, Pressure = 1072 hPa.
Temp = 28 ◦ C, Humidity = 42 %, Pressure = 922 hPa.
Temp = 27 ◦ C, Humidity = 42 %, Pressure = 922 hPa.
Temp = 15 ◦ C, Humidity = 42 %, Pressure = 922 hPa.
Temp = 15 ◦ C, Humidity = 76 %, Pressure = 922 hPa.
Temp = 17 ◦ C, Humidity = 76 %, Pressure = 922 hPa.
Temp = 17 ◦ C, Humidity = 76 %, Pressure = 1099 hPa.
Temp = 34 ◦ C, Humidity = 76 %, Pressure = 1099 hPa.
Temp = 34 ◦ C, Humidity = 98 %, Pressure = 1099 hPa.
Temp = 16 ◦ C, Humidity = 98 %, Pressure = 1099 hPa.
Temp = 27 ◦ C, Humidity = 98 %, Pressure = 1099 hPa.
Temp = 27 ◦ C, Humidity = 52 %, Pressure = 1099 hPa.
Temp = 27 ◦ C, Humidity = 52 %, Pressure = 977 hPa.
Temp = 15 ◦ C, Humidity = 52 %, Pressure = 977 hPa.
